전체날짜,종목명,제목,본문
2022.06.02 09:20,카카오,폭락은 무슨....네이버의 하수인같은 존재,"항상 네이버 보다 많이 떨어져....

항상 네이버 보다 조금 올라...

나은게 하나도 없네....평생 네이버 똥ggo 나 빨아라"
2022.06.02 09:21,카카오,오늘 풀매수,기회 한번 주?ㅋㅋㅋ깜사
2022.06.02 09:24,카카오,쑤뤠기 같은~~,"아주 엿 같은 종목~~

에휴"
2022.06.02 09:25,카카오,지금하락시키는거 전혀자연스럽지,않네요~~~
2022.06.02 09:26,카카오,팔카오에서,언젠가 4층진행하겠군
2022.06.02 09:28,카카오,네이버로 가라,떨굴땐 일등 오를땐 꼴등
2022.06.02 09:29,카카오,너무 기초체력이 없다,"나스닥좀 내리면 그냥 쳐발리고 ㅋㅋ
분할 그만쳐해라 진짜"
2022.06.02 09:30,카카오,숏커버링,통정 바닥
2022.06.02 09:32,카카오,분할 매수하자,이 금액은 싸다 빨리 빨리 매수하자
2022.06.02 09:36,카카오,반등도 제데로 못하는건 뭐지???,"이미 하락이 깊어 모두들 털고 나가는거여???
이미 물렸는데,,,
용돈 벌려고 추매하면 안되나요????"
2022.06.02 09:37,카카오,이게뭐냐,"난 괜찮다
1만원이라도 수익중이다..언젠간 제자리 찾아갈거당"
2022.06.02 09:39,카카오,이건,유튜브들 때문이다ㅜㅜ
2022.06.02 09:39,카카오,공매도 맛집이네...,아주그냥막주무르네
2022.06.02 09:39,카카오,6월2일 카카오 음식배송시작ㅅㅅ,"오늘 카카오음식배송 출시일ㅅㅅ

카카오픽커오픈일이네

오늘오후에 불장난할듯 인정?"
2022.06.02 09:43,카카오,아이고,이 개카오좀 보소
2022.06.02 09:47,카카오,"카카오직원들,,,","배가불렀구나,,,,, 밖에있는사람들은 카카오직원들 부러워하는데,,,, 불평이라니,,,,

옛날부터 종을 잘대해주면 상전을 몰라본다는말이 있죠,,,, 직원들 너무 우대해주면 안된당께요,,,

휘둘리지말고 꽉잡으쇼,,,,,,,,,,,,,,,"
2022.06.02 09:49,카카오,한주도 내주지마라,"외인들한테 싼값에 넘기지말라고 ㅋㅋ
바닥에서 털리는 놈들은 주식 접어라"
2022.06.02 09:57,카카오,언제,"도대체

십만원 넘을런지...

기다리다 지치네"
2022.06.02 09:59,카카오,느낌이,오후에 말아올릴듯 ㅎㅎ
2022.06.02 09:59,카카오,한주도 내주지마라,주식을 샀으면 끝까지 가지고 간다 카카오는 가지고 만 있으면 올라간다 끝까지 가지고 있어라
2022.06.02 10:05,카카오,유영두,"100만원 회비내는 사람은 뭘까요?
추천하는 네이버 한전 카카오 sk바이오 팜 1년간 단한종목도 안오르고 반토막났는데도 믿고 따르는 사람들이 신기할뿐."
2022.06.02 10:08,카카오,[正이不를 뒤집어쓰고있으면 비뚤어질왜자가된다!!],이제는..不를 벗어버려라 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2022.06.02 10:09,카카오,800원갑니다,ㅋㅋㅋㅋㅋㅋㅋㅋ
2022.06.02 10:14,카카오,[게다가 사람들까지모여들면 왜곡왜자가된다!!],이제는..그러한사람들도 벗어버려라 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2022.06.02 10:15,카카오,개미 털기 그만 하고 올라가자,빨리 빨리 말아 올려라 올려
